player,team,league,season,position_group,cluster,archetype,pca_x,pca_y,goals_p90,assists_p90,xG_p90,xA_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,shot_conversion,finishing_over_xG,creation_over_xA,discipline_p90,involvement_index
Ivan Rakitic,Barcelona,La Liga,1920,MID,4,Deep-Lying Playmaker,1.6023935702754062,2.819210582119936,0.05710659894853642,0.17131979684560925,0.13011080947447823,0.08263590039528791,1.370558374764874,1.0279187810736554,0.6648062200908168,0.500852952235112,0.041666664930555625,-0.0730042105259418,0.08868389645032133,0.28553299474268207,0.5828295861629644
Sergi Roberto,Barcelona,La Liga,1920,DEF,4,Deep-Lying Playmaker,0.20263296563795655,1.4393453408924548,0.038363171339146136,0.07672634267829227,0.02510519725774877,0.07164808339660392,0.23017902803487683,0.9590792834786535,0.49269974223818724,0.4411729764756593,0.16666663888889352,0.013257974081397367,0.005078259281688355,0.26854219937402296,0.46693635935692324
Papakouly Diop,Eibar,La Liga,1920,MID,0,Defensive Anchor,-2.5171757589611206,-0.7823685622145177,0.03982300883193672,0.0,0.036677372458736215,0.01676447247443444,1.1150442472942281,0.5973451324790509,0.09542884963125042,0.06236374863359015,0.035714284438775556,0.0031456363732005055,-0.01676447247443444,0.27876106182355703,0.07889629913242029
Sergi Enrich,Eibar,La Liga,1920,FWD,0,Defensive Anchor,-0.9562422047076746,0.2202464617258548,0.04805125464599506,0.19220501858398023,0.14591155773282752,0.10969678938570512,1.3454351300878615,0.5285638011059456,0.22291542651950516,0.04535589472629856,0.035714284438775556,-0.09786030308683247,0.08250822919827511,0.28830752787597036,0.13413566062290186
Diego Llorente,Real Sociedad,La Liga,1920,DEF,0,Defensive Anchor,-1.574761618319344,0.36954245527445706,0.03862660942548214,0.03862660942548214,0.0563419950612366,0.016417937677965726,0.3862660942548214,0.1931330471274107,0.27393864957218445,0.27275624751626193,0.09999999000000101,-0.017715385635754456,0.022208671747516416,0.23175965655289285,0.2733474485442232
Damián Suárez,Getafe,La Liga,1920,DEF,0,Defensive Anchor,-1.2360313921053367,0.45184381741922003,0.03442999233571921,0.13771996934287684,0.032227895432595625,0.12153491363561493,0.7230298390501034,1.1361897470787339,0.1956938139740404,0.1357523548982702,0.04761904535147403,0.0022020969031235835,0.016185055707261906,0.5164498850357881,0.1657230844361553
Pedro León,Eibar,La Liga,1920,FWD,1,Volume Forward,-0.11022816426318403,0.39689961753625314,0.04675324672895935,0.0935064934579187,0.1427911572384172,0.1477689013085071,1.729870128971496,1.870129869158374,0.266200190131429,0.09543754452502026,0.027027026296566857,-0.09603791050945786,-0.05426240785058839,0.1870129869158374,0.1808188673282246
Isco,Real Madrid,La Liga,1920,FWD,1,Volume Forward,1.903390372497309,2.0696394033765197,0.0759493670245153,0.1518987340490306,0.18079114973000976,0.17023253662269183,1.7468354415638518,1.7468354415638518,0.5643967888447551,0.3710410567759695,0.04347825897920613,-0.10484178270549446,-0.01833380257366124,0.1518987340490306,0.4677189228103623
Marcelo,Real Madrid,La Liga,1920,DEF,4,Deep-Lying Playmaker,1.7502048844248228,2.3666294521622473,0.06907137369986847,0.13814274739973695,0.03651770685962341,0.12209586242273925,1.174213352897764,1.7958557161965802,0.582758200923294,0.4910633367300639,0.05882352595155729,0.03255366684024506,0.016046884976997702,0.13814274739973695,0.536910768826679
Daniel Carvajal,Real Madrid,La Liga,1920,DEF,4,Deep-Lying Playmaker,1.3640061549532307,2.7870463534181393,0.03278688523395742,0.1639344261697871,0.09166628060973504,0.1784408993246833,0.6557377046791484,1.3442622945922542,0.6028491041457472,0.46155500126463445,0.04999999750000012,-0.058879395375777625,-0.014506473154896199,0.3606557375735316,0.5322020527051908
